game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
20,LOOK-my-eval,LOOK-A1-material5,20260923,-1,70,0.105,0,2,6,8
21,LOOK-my-eval,LOOK-A1-material5,20260924,-1,42,0.078,0,4,4,8
22,LOOK-my-eval,LOOK-A1-material5,20260925,1,91,0.12,5,0,8,3
23,LOOK-my-eval,LOOK-A1-material5,20260926,1,51,0.337,7,0,8,1
32,LOOK-my-eval,LOOK-A1-material5,20260935,-1,100,0.238,0,2,6,8
33,LOOK-my-eval,LOOK-A1-material5,20260936,1,61,0.196,4,0,8,4
34,LOOK-my-eval,LOOK-A1-material5,20260937,-1,116,0.121,0,4,4,8
35,LOOK-my-eval,LOOK-A1-material5,20260938,-1,84,0.252,0,3,5,8
24,LOOK-my-eval,LOOK-A1-material5,20260927,-1,120,0.107,0,3,5,8
25,LOOK-my-eval,LOOK-A1-material5,20260928,-1,116,0.167,0,3,5,8
26,LOOK-my-eval,LOOK-A1-material5,20260929,1,75,0.076,4,0,8,4
27,LOOK-my-eval,LOOK-A1-material5,20260930,1,49,0.518,8,0,8,0
28,LOOK-my-eval,LOOK-A1-material5,20260931,-1,48,0.424,0,5,3,8
29,LOOK-my-eval,LOOK-A1-material5,20260932,1,129,0.365,1,0,8,7
30,LOOK-my-eval,LOOK-A1-material5,20260933,1,57,0.115,3,0,8,5
31,LOOK-my-eval,LOOK-A1-material5,20260934,-1,54,0.15,0,5,3,8
80,LOOK-my-eval,LOOK-A1-material5,20260983,1,61,0.124,5,0,8,3
81,LOOK-my-eval,LOOK-A1-material5,20260984,1,147,0.141,1,0,8,7
82,LOOK-my-eval,LOOK-A1-material5,20260985,-1,38,0.111,0,6,2,8
83,LOOK-my-eval,LOOK-A1-material5,20260986,-1,60,0.199,0,6,2,8
48,LOOK-my-eval,LOOK-A1-material5,20260951,1,53,0.171,4,0,8,4
49,LOOK-my-eval,LOOK-A1-material5,20260952,1,59,0.328,5,0,8,3
50,LOOK-my-eval,LOOK-A1-material5,20260953,1,87,0.598,2,0,8,6
51,LOOK-my-eval,LOOK-A1-material5,20260954,1,119,0.268,5,0,8,3
0,LOOK-my-eval,LOOK-A1-material5,20260903,1,59,0.839,7,0,8,1
1,LOOK-my-eval,LOOK-A1-material5,20260904,-1,60,0.268,0,4,4,8
2,LOOK-my-eval,LOOK-A1-material5,20260905,-1,86,0.37,0,6,2,8
3,LOOK-my-eval,LOOK-A1-material5,20260906,1,79,0.181,4,0,8,4
16,LOOK-my-eval,LOOK-A1-material5,20260919,-1,82,0.248,0,2,6,8
17,LOOK-my-eval,LOOK-A1-material5,20260920,-1,110,0.361,0,1,7,8
18,LOOK-my-eval,LOOK-A1-material5,20260921,1,65,0.368,2,0,8,6
19,LOOK-my-eval,LOOK-A1-material5,20260922,-1,76,0.639,0,2,6,8
88,LOOK-my-eval,LOOK-A1-material5,20260991,1,65,0.18,5,0,8,3
89,LOOK-my-eval,LOOK-A1-material5,20260992,-1,186,0.19,0,2,6,8
90,LOOK-my-eval,LOOK-A1-material5,20260993,1,69,0.122,5,0,8,3
91,LOOK-my-eval,LOOK-A1-material5,20260994,1,199,0.391,2,0,8,6
