game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
4,LOOK-A3-simple-stack,LOOK,4044,1,205,3.301,6,0,8,2
5,LOOK-A3-simple-stack,LOOK,4045,-1,162,3.349,0,4,4,8
6,LOOK-A3-simple-stack,LOOK,4046,-1,136,1.602,0,7,1,8
7,LOOK-A3-simple-stack,LOOK,4047,-1,218,1.215,0,1,7,8
20,LOOK-A3-simple-stack,LOOK,4060,-1,116,1.938,0,7,1,8
21,LOOK-A3-simple-stack,LOOK,4061,-1,160,2.25,0,2,6,8
22,LOOK-A3-simple-stack,LOOK,4062,-1,216,4.708,0,4,4,8
23,LOOK-A3-simple-stack,LOOK,4063,-1,128,1.782,0,5,3,8
40,LOOK-A3-simple-stack,LOOK,4080,-1,218,3.97,0,1,7,8
41,LOOK-A3-simple-stack,LOOK,4081,-1,106,1.31,0,6,2,8
42,LOOK-A3-simple-stack,LOOK,4082,-1,140,0.976,0,5,3,8
43,LOOK-A3-simple-stack,LOOK,4083,-1,154,9.257,0,4,4,8
32,LOOK-A3-simple-stack,LOOK,4072,-1,170,9.096,0,2,6,8
33,LOOK-A3-simple-stack,LOOK,4073,-1,54,1.101,0,9,-1,8
34,LOOK-A3-simple-stack,LOOK,4074,1,91,5.283,9,0,8,-1
35,LOOK-A3-simple-stack,LOOK,4075,-1,176,7.197,0,4,4,8
12,LOOK-A3-simple-stack,LOOK,4052,-1,120,13.185,0,4,4,8
13,LOOK-A3-simple-stack,LOOK,4053,1,67,1.095,8,0,8,0
14,LOOK-A3-simple-stack,LOOK,4054,1,123,8.67,8,0,8,0
15,LOOK-A3-simple-stack,LOOK,4055,-1,180,1.432,0,4,4,8
8,LOOK-A3-simple-stack,LOOK,4048,1,101,1.604,9,0,8,-1
9,LOOK-A3-simple-stack,LOOK,4049,1,173,8.721,5,0,8,3
10,LOOK-A3-simple-stack,LOOK,4050,1,113,2.555,3,0,8,5
11,LOOK-A3-simple-stack,LOOK,4051,1,197,11.721,3,0,8,5
48,LOOK-A3-simple-stack,LOOK,4088,1,121,2.615,5,0,8,3
49,LOOK-A3-simple-stack,LOOK,4089,1,113,4.943,9,0,8,-1
50,LOOK-A3-simple-stack,LOOK,4090,1,123,15.128,6,0,8,2
51,LOOK-A3-simple-stack,LOOK,4091,-1,138,2.818,0,4,4,8
28,LOOK-A3-simple-stack,LOOK,4068,1,81,13.773,4,0,8,4
29,LOOK-A3-simple-stack,LOOK,4069,-1,102,2.06,0,4,4,8
30,LOOK-A3-simple-stack,LOOK,4070,-1,220,8.915,0,1,7,8
31,LOOK-A3-simple-stack,LOOK,4071,-1,88,4.451,0,6,2,8
64,LOOK-A3-simple-stack,LOOK,4104,-1,112,1.877,0,5,3,8
65,LOOK-A3-simple-stack,LOOK,4105,-1,202,4.887,0,1,7,8
66,LOOK-A3-simple-stack,LOOK,4106,1,129,4.439,6,0,8,2
67,LOOK-A3-simple-stack,LOOK,4107,1,143,3.435,4,0,8,4
52,LOOK-A3-simple-stack,LOOK,4092,1,99,9.591,5,0,8,3
53,LOOK-A3-simple-stack,LOOK,4093,-1,154,4.058,0,3,5,8
54,LOOK-A3-simple-stack,LOOK,4094,-1,228,3.145,0,5,3,8
55,LOOK-A3-simple-stack,LOOK,4095,0,301,14.721,2,2,6,6
36,LOOK-A3-simple-stack,LOOK,4076,-1,106,11.025,0,5,3,8
37,LOOK-A3-simple-stack,LOOK,4077,-1,116,1.817,0,6,2,8
38,LOOK-A3-simple-stack,LOOK,4078,1,201,8.232,3,0,8,5
39,LOOK-A3-simple-stack,LOOK,4079,-1,278,13.724,0,5,3,8
80,LOOK-A3-simple-stack,LOOK,4120,-1,242,1.846,0,2,6,8
81,LOOK-A3-simple-stack,LOOK,4121,1,247,5.428,1,0,8,7
82,LOOK-A3-simple-stack,LOOK,4122,-1,176,2.11,0,4,4,8
83,LOOK-A3-simple-stack,LOOK,4123,-1,72,1.289,0,9,-1,8
44,LOOK-A3-simple-stack,LOOK,4084,-1,220,7.554,0,1,7,8
45,LOOK-A3-simple-stack,LOOK,4085,-1,90,1.713,0,8,0,8
46,LOOK-A3-simple-stack,LOOK,4086,1,111,11.755,4,0,8,4
47,LOOK-A3-simple-stack,LOOK,4087,1,223,16.382,4,0,8,4
56,LOOK-A3-simple-stack,LOOK,4096,1,207,6.285,5,0,8,3
57,LOOK-A3-simple-stack,LOOK,4097,1,161,10.632,4,0,8,4
58,LOOK-A3-simple-stack,LOOK,4098,1,185,6.376,5,0,8,3
59,LOOK-A3-simple-stack,LOOK,4099,1,139,5.372,4,0,8,4
24,LOOK-A3-simple-stack,LOOK,4064,1,147,24.542,4,0,8,4
25,LOOK-A3-simple-stack,LOOK,4065,-1,170,2.175,0,6,2,8
26,LOOK-A3-simple-stack,LOOK,4066,1,109,1.864,2,0,8,6
27,LOOK-A3-simple-stack,LOOK,4067,-1,190,11.84,0,6,2,8
76,LOOK-A3-simple-stack,LOOK,4116,-1,228,1.629,0,1,7,8
