agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,1000,403,592,5,40.3,3.0,140.3,7.876
GA-Expert,LOOK,1000,363,628,9,36.3,3.0,160.0,7.528
GA-Expert,LOOK-A3-simple-stack,1000,320,668,12,32.0,2.9,148.5,8.59
GA-Expert,LOOK-my-eval,1000,714,284,2,71.4,2.8,127.2,4.799
GA-Expert,LOOK-no-LA,1000,448,547,5,44.8,3.1,148.7,4.278
GA-Original,LOOK,1000,322,667,11,32.2,2.9,166.8,7.737
GA-Original,LOOK-A3-simple-stack,1000,366,629,5,36.6,3.0,157.2,11.292
GA-Original,LOOK-my-eval,1000,752,245,3,75.2,2.7,133.4,4.5
GA-Original,LOOK-no-LA,1000,525,465,10,52.5,3.1,158.0,4.118
LOOK,LOOK-A3-simple-stack,1000,471,514,15,47.1,3.1,180.3,10.86
LOOK,LOOK-my-eval,1000,767,228,5,76.7,2.6,137.8,2.68
LOOK,LOOK-no-LA,1000,685,301,14,68.5,2.9,177.8,3.344
LOOK-A3-simple-stack,LOOK-my-eval,1000,838,160,2,83.8,2.3,127.1,3.809
LOOK-A3-simple-stack,LOOK-no-LA,1000,648,339,13,64.8,3.0,169.3,3.831
LOOK-my-eval,LOOK-no-LA,1000,275,725,0,27.5,2.8,138.3,1.353
