game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
24,LOOK-A3-simple-stack,LOOK,4064,-1,70,0.275,0,4,4,8
25,LOOK-A3-simple-stack,LOOK,4065,-1,92,0.368,0,3,5,8
26,LOOK-A3-simple-stack,LOOK,4066,-1,66,0.208,0,5,3,8
27,LOOK-A3-simple-stack,LOOK,4067,-1,66,0.639,0,5,3,8
4,LOOK-A3-simple-stack,LOOK,4044,1,89,0.349,4,0,8,4
5,LOOK-A3-simple-stack,LOOK,4045,-1,112,0.276,0,2,6,8
6,LOOK-A3-simple-stack,LOOK,4046,-1,98,0.848,0,4,4,8
7,LOOK-A3-simple-stack,LOOK,4047,1,67,0.069,6,0,8,2
52,LOOK-A3-simple-stack,LOOK,4092,1,45,0.541,5,0,8,3
53,LOOK-A3-simple-stack,LOOK,4093,1,53,0.943,6,0,8,2
54,LOOK-A3-simple-stack,LOOK,4094,-1,136,0.298,0,2,6,8
55,LOOK-A3-simple-stack,LOOK,4095,1,57,0.166,6,0,8,2
48,LOOK-A3-simple-stack,LOOK,4088,-1,106,0.253,0,4,4,8
49,LOOK-A3-simple-stack,LOOK,4089,1,63,0.269,6,0,8,2
50,LOOK-A3-simple-stack,LOOK,4090,-1,138,1.091,0,2,6,8
51,LOOK-A3-simple-stack,LOOK,4091,1,43,0.466,6,0,8,2
0,LOOK-A3-simple-stack,LOOK,4040,1,77,0.778,5,0,8,3
1,LOOK-A3-simple-stack,LOOK,4041,-1,52,0.173,0,5,3,8
2,LOOK-A3-simple-stack,LOOK,4042,1,111,0.33,3,0,8,5
3,LOOK-A3-simple-stack,LOOK,4043,-1,168,1.198,0,2,6,8
12,LOOK-A3-simple-stack,LOOK,4052,1,107,1.221,1,0,8,7
13,LOOK-A3-simple-stack,LOOK,4053,1,75,0.372,4,0,8,4
14,LOOK-A3-simple-stack,LOOK,4054,1,57,0.546,8,0,8,0
15,LOOK-A3-simple-stack,LOOK,4055,1,113,0.337,2,0,8,6
44,LOOK-A3-simple-stack,LOOK,4084,1,103,0.322,1,0,8,7
45,LOOK-A3-simple-stack,LOOK,4085,-1,150,1.292,0,1,7,8
46,LOOK-A3-simple-stack,LOOK,4086,1,87,0.729,3,0,8,5
47,LOOK-A3-simple-stack,LOOK,4087,1,57,0.287,5,0,8,3
8,LOOK-A3-simple-stack,LOOK,4048,-1,86,0.292,0,2,6,8
9,LOOK-A3-simple-stack,LOOK,4049,1,111,0.336,4,0,8,4
10,LOOK-A3-simple-stack,LOOK,4050,-1,148,1.211,0,1,7,8
11,LOOK-A3-simple-stack,LOOK,4051,1,169,0.858,5,0,8,3
28,LOOK-A3-simple-stack,LOOK,4068,-1,80,0.986,0,1,7,8
29,LOOK-A3-simple-stack,LOOK,4069,-1,66,0.141,0,7,1,8
30,LOOK-A3-simple-stack,LOOK,4070,-1,90,0.77,0,6,2,8
31,LOOK-A3-simple-stack,LOOK,4071,1,91,0.771,3,0,8,5
40,LOOK-A3-simple-stack,LOOK,4080,-1,66,0.189,0,2,6,8
41,LOOK-A3-simple-stack,LOOK,4081,-1,60,1.849,0,7,1,8
42,LOOK-A3-simple-stack,LOOK,4082,-1,84,0.433,0,6,2,8
43,LOOK-A3-simple-stack,LOOK,4083,-1,134,0.358,0,2,6,8
32,LOOK-A3-simple-stack,LOOK,4072,-1,160,0.511,0,3,5,8
33,LOOK-A3-simple-stack,LOOK,4073,1,79,0.328,3,0,8,5
34,LOOK-A3-simple-stack,LOOK,4074,-1,166,1.977,0,1,7,8
35,LOOK-A3-simple-stack,LOOK,4075,1,83,0.492,3,0,8,5
56,LOOK-A3-simple-stack,LOOK,4096,-1,162,0.238,0,1,7,8
57,LOOK-A3-simple-stack,LOOK,4097,1,95,0.73,3,0,8,5
58,LOOK-A3-simple-stack,LOOK,4098,1,57,0.066,6,0,8,2
59,LOOK-A3-simple-stack,LOOK,4099,1,77,0.784,5,0,8,3
