game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
104,BM-TLA-1,BM-TLA-2,9194,1,173,0.087,4,0,8,4
105,BM-TLA-1,BM-TLA-2,9195,-1,102,0.227,0,1,7,8
106,BM-TLA-1,BM-TLA-2,9196,1,75,0.074,3,0,8,5
107,BM-TLA-1,BM-TLA-2,9197,1,105,0.143,2,0,8,6
24,BM-TLA-1,BM-TLA-2,9114,1,159,0.13,2,0,8,6
25,BM-TLA-1,BM-TLA-2,9115,1,87,0.219,2,0,8,6
26,BM-TLA-1,BM-TLA-2,9116,1,87,0.102,3,0,8,5
27,BM-TLA-1,BM-TLA-2,9117,-1,102,0.243,0,2,6,8
124,BM-TLA-1,BM-TLA-2,9214,1,77,0.096,4,0,8,4
125,BM-TLA-1,BM-TLA-2,9215,-1,94,0.165,0,3,5,8
126,BM-TLA-1,BM-TLA-2,9216,-1,110,0.392,0,2,6,8
127,BM-TLA-1,BM-TLA-2,9217,1,65,0.036,5,0,8,3
36,BM-TLA-1,BM-TLA-2,9126,1,77,0.054,6,0,8,2
37,BM-TLA-1,BM-TLA-2,9127,1,77,0.134,2,0,8,6
38,BM-TLA-1,BM-TLA-2,9128,-1,52,0.245,0,5,3,8
39,BM-TLA-1,BM-TLA-2,9129,1,97,0.402,1,0,8,7
0,BM-TLA-1,BM-TLA-2,9090,1,97,0.303,2,0,8,6
1,BM-TLA-1,BM-TLA-2,9091,1,85,0.066,6,0,8,2
2,BM-TLA-1,BM-TLA-2,9092,1,91,0.114,3,0,8,5
3,BM-TLA-1,BM-TLA-2,9093,-1,50,0.473,0,7,1,8
52,BM-TLA-1,BM-TLA-2,9142,1,133,0.316,1,0,8,7
53,BM-TLA-1,BM-TLA-2,9143,1,67,0.186,5,0,8,3
54,BM-TLA-1,BM-TLA-2,9144,1,73,0.133,3,0,8,5
55,BM-TLA-1,BM-TLA-2,9145,-1,108,0.373,0,5,3,8
