agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
BM-GA-1,BM-GA-2,300,126,174,0,42.0,5.6,85.2,0.594
BM-GA-1,BM-GA-3,300,110,190,0,36.7,5.5,84.4,2.516
BM-GA-1,BM-GA-4,300,141,159,0,47.0,5.6,84.6,8.623
BM-GA-1,BM-TLA-1,300,155,145,0,51.7,5.7,95.1,0.147
BM-GA-1,BM-TLA-2,300,129,171,0,43.0,5.6,92.2,0.68
BM-GA-1,BM-TLA-3,300,124,176,0,41.3,5.6,90.5,1.459
BM-GA-1,BM-TLA-4,300,127,173,0,42.3,5.6,89.3,3.991
BM-GA-1,BM-TLAG-1,300,155,145,0,51.7,5.7,90.5,0.1
BM-GA-1,BM-TLAG-2,300,133,167,0,44.3,5.6,89.2,0.16
BM-GA-1,BM-TLAG-3,300,133,167,0,44.3,5.6,89.2,0.141
BM-GA-1,BM-TLAG-4,300,152,148,0,50.7,5.7,89.2,0.114
BM-GA-2,BM-GA-3,300,152,148,0,50.7,5.7,86.2,3.072
BM-GA-2,BM-GA-4,300,151,149,0,50.3,5.7,86.5,9.938
BM-GA-2,BM-TLA-1,300,155,145,0,51.7,5.7,93.3,0.578
BM-GA-2,BM-TLA-2,300,124,176,0,41.3,5.6,89.4,1.076
BM-GA-2,BM-TLA-3,300,133,167,0,44.3,5.6,92.4,1.661
BM-GA-2,BM-TLA-4,300,121,179,0,40.3,5.6,89.2,4.722
BM-GA-2,BM-TLAG-1,300,164,136,0,54.7,5.6,87.0,0.443
BM-GA-2,BM-TLAG-2,300,165,135,0,55.0,5.6,90.3,0.586
BM-GA-2,BM-TLAG-3,300,161,139,0,53.7,5.6,87.4,0.523
BM-GA-2,BM-TLAG-4,300,150,150,0,50.0,5.7,90.4,0.491
BM-GA-3,BM-GA-4,300,155,145,0,51.7,5.7,87.5,11.038
BM-GA-3,BM-TLA-1,300,164,136,0,54.7,5.6,91.8,2.491
BM-GA-3,BM-TLA-2,300,130,170,0,43.3,5.6,92.5,3.28
BM-GA-3,BM-TLA-3,300,142,158,0,47.3,5.6,88.1,3.768
BM-GA-3,BM-TLA-4,300,142,158,0,47.3,5.6,87.5,6.018
BM-GA-3,BM-TLAG-1,300,163,137,0,54.3,5.6,85.9,2.257
BM-GA-3,BM-TLAG-2,300,166,134,0,55.3,5.6,88.3,2.534
BM-GA-3,BM-TLAG-3,300,159,141,0,53.0,5.6,88.3,2.391
BM-GA-3,BM-TLAG-4,300,154,146,0,51.3,5.7,84.9,2.43
BM-GA-4,BM-TLA-1,300,159,141,0,53.0,5.6,95.6,11.655
BM-GA-4,BM-TLA-2,300,129,171,0,43.0,5.6,91.1,11.559
BM-GA-4,BM-TLA-3,300,133,167,0,44.3,5.6,89.7,12.262
BM-GA-4,BM-TLA-4,300,142,158,0,47.3,5.6,88.9,13.157
BM-GA-4,BM-TLAG-1,300,164,136,0,54.7,5.6,86.7,9.553
BM-GA-4,BM-TLAG-2,300,151,149,0,50.3,5.7,88.9,9.815
BM-GA-4,BM-TLAG-3,300,157,143,0,52.3,5.7,88.7,9.904
BM-GA-4,BM-TLAG-4,300,166,134,0,55.3,5.6,86.1,9.745
BM-TLA-1,BM-TLA-2,300,132,168,0,44.0,5.6,95.1,0.754
BM-TLA-1,BM-TLA-3,300,112,188,0,37.3,5.5,95.9,1.419
BM-TLA-1,BM-TLA-4,300,118,182,0,39.3,5.5,95.3,3.283
BM-TLA-1,BM-TLAG-1,300,149,151,0,49.7,5.7,93.9,0.05
BM-TLA-1,BM-TLAG-2,300,139,161,0,46.3,5.6,95.3,0.065
BM-TLA-1,BM-TLAG-3,300,125,175,0,41.7,5.6,91.5,0.071
BM-TLA-1,BM-TLAG-4,300,131,169,0,43.7,5.6,95.5,0.08
BM-TLA-2,BM-TLA-3,300,143,157,0,47.7,5.7,95.1,2.003
BM-TLA-2,BM-TLA-4,300,130,170,0,43.3,5.6,94.2,4.616
BM-TLA-2,BM-TLAG-1,300,183,117,0,61.0,5.5,90.0,0.398
BM-TLA-2,BM-TLAG-2,300,164,136,0,54.7,5.6,93.2,0.645
BM-TLA-2,BM-TLAG-3,300,173,127,0,57.7,5.6,95.4,0.485
BM-TLA-2,BM-TLAG-4,300,181,119,0,60.3,5.5,95.2,0.626
BM-TLA-3,BM-TLA-4,300,143,157,0,47.7,5.7,93.3,6.234
BM-TLA-3,BM-TLAG-1,300,177,123,0,59.0,5.6,91.4,0.976
BM-TLA-3,BM-TLAG-2,300,171,129,0,57.0,5.6,92.0,1.035
BM-TLA-3,BM-TLAG-3,300,185,115,0,61.7,5.5,88.2,1.423
BM-TLA-3,BM-TLAG-4,300,160,140,0,53.3,5.6,93.3,1.026
BM-TLA-4,BM-TLAG-1,300,178,122,0,59.3,5.6,90.5,5.524
BM-TLA-4,BM-TLAG-2,300,181,119,0,60.3,5.5,89.2,5.189
BM-TLA-4,BM-TLAG-3,300,181,119,0,60.3,5.5,90.2,2.962
BM-TLA-4,BM-TLAG-4,300,196,104,0,65.3,5.4,93.1,4.738
BM-TLAG-1,BM-TLAG-2,300,146,154,0,48.7,5.7,88.9,0.031
BM-TLAG-1,BM-TLAG-3,300,167,133,0,55.7,5.6,89.5,0.03
BM-TLAG-1,BM-TLAG-4,300,152,148,0,50.7,5.7,90.8,0.029
BM-TLAG-2,BM-TLAG-3,300,154,146,0,51.3,5.7,94.3,0.07
BM-TLAG-2,BM-TLAG-4,300,133,167,0,44.3,5.6,94.4,0.067
BM-TLAG-3,BM-TLAG-4,300,155,145,0,51.7,5.7,93.6,0.068
