game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
80,BM-TLA-1,BM-TLA-2,9170,1,59,0.097,4,0,8,4
81,BM-TLA-1,BM-TLA-2,9171,1,97,0.093,5,0,8,3
82,BM-TLA-1,BM-TLA-2,9172,-1,144,0.354,0,1,7,8
83,BM-TLA-1,BM-TLA-2,9173,1,69,0.086,6,0,8,2
0,BM-TLA-1,BM-TLA-2,9090,1,97,0.192,2,0,8,6
1,BM-TLA-1,BM-TLA-2,9091,1,85,0.036,6,0,8,2
2,BM-TLA-1,BM-TLA-2,9092,1,91,0.065,3,0,8,5
3,BM-TLA-1,BM-TLA-2,9093,-1,50,0.425,0,7,1,8
36,BM-TLA-1,BM-TLA-2,9126,1,77,0.068,6,0,8,2
37,BM-TLA-1,BM-TLA-2,9127,1,77,0.134,2,0,8,6
38,BM-TLA-1,BM-TLA-2,9128,-1,52,0.242,0,5,3,8
39,BM-TLA-1,BM-TLA-2,9129,1,97,0.431,1,0,8,7
104,BM-TLA-1,BM-TLA-2,9194,1,173,0.156,4,0,8,4
105,BM-TLA-1,BM-TLA-2,9195,-1,102,0.424,0,1,7,8
106,BM-TLA-1,BM-TLA-2,9196,1,75,0.143,3,0,8,5
107,BM-TLA-1,BM-TLA-2,9197,1,105,0.269,2,0,8,6
52,BM-TLA-1,BM-TLA-2,9142,1,133,0.343,1,0,8,7
53,BM-TLA-1,BM-TLA-2,9143,1,67,0.191,5,0,8,3
54,BM-TLA-1,BM-TLA-2,9144,1,73,0.138,3,0,8,5
55,BM-TLA-1,BM-TLA-2,9145,-1,108,0.381,0,5,3,8
136,BM-TLA-1,BM-TLA-2,9226,-1,74,0.283,0,5,3,8
137,BM-TLA-1,BM-TLA-2,9227,1,99,0.072,6,0,8,2
138,BM-TLA-1,BM-TLA-2,9228,-1,78,0.232,0,5,3,8
139,BM-TLA-1,BM-TLA-2,9229,-1,160,0.541,0,4,4,8
12,BM-TLA-1,BM-TLA-2,9102,-1,96,0.496,0,1,7,8
13,BM-TLA-1,BM-TLA-2,9103,-1,98,0.165,0,3,5,8
14,BM-TLA-1,BM-TLA-2,9104,-1,154,0.433,0,1,7,8
15,BM-TLA-1,BM-TLA-2,9105,1,61,0.077,5,0,8,3
64,BM-TLA-1,BM-TLA-2,9154,-1,98,0.295,0,5,3,8
65,BM-TLA-1,BM-TLA-2,9155,1,67,0.102,6,0,8,2
66,BM-TLA-1,BM-TLA-2,9156,1,89,0.577,3,0,8,5
67,BM-TLA-1,BM-TLA-2,9157,1,107,0.247,4,0,8,4
124,BM-TLA-1,BM-TLA-2,9214,1,77,0.176,4,0,8,4
125,BM-TLA-1,BM-TLA-2,9215,-1,94,0.302,0,3,5,8
126,BM-TLA-1,BM-TLA-2,9216,-1,110,0.722,0,2,6,8
127,BM-TLA-1,BM-TLA-2,9217,1,65,0.036,5,0,8,3
88,BM-TLA-1,BM-TLA-2,9178,-1,116,0.617,0,4,4,8
89,BM-TLA-1,BM-TLA-2,9179,-1,78,0.156,0,7,1,8
90,BM-TLA-1,BM-TLA-2,9180,1,155,0.078,2,0,8,6
91,BM-TLA-1,BM-TLA-2,9181,-1,168,0.514,0,2,6,8
92,BM-TLA-1,BM-TLA-2,9182,-1,110,0.284,0,2,6,8
93,BM-TLA-1,BM-TLA-2,9183,-1,86,0.603,0,5,3,8
94,BM-TLA-1,BM-TLA-2,9184,-1,58,0.283,0,5,3,8
95,BM-TLA-1,BM-TLA-2,9185,1,89,0.239,6,0,8,2
172,BM-TLA-1,BM-TLA-2,9262,-1,134,0.212,0,1,7,8
