agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
BM-GA-1,BM-GA-2,1000,443,557,0,44.3,3.1,86.7,0.736
BM-GA-1,BM-GA-3,1000,452,548,0,45.2,3.1,86.7,3.014
BM-GA-1,BM-GA-4,1000,454,546,0,45.4,3.1,87.5,11.483
BM-GA-1,BM-TLA-1,1000,531,469,0,53.1,3.1,92.9,0.185
BM-GA-1,BM-TLA-2,1000,392,608,0,39.2,3.0,90.5,0.705
BM-GA-1,BM-TLA-3,1000,390,610,0,39.0,3.0,92.6,1.327
BM-GA-1,BM-TLA-4,1000,345,655,0,34.5,2.9,89.6,3.919
BM-GA-1,BM-TLAG-1,1000,505,495,0,50.5,3.1,89.7,0.136
BM-GA-1,BM-TLAG-2,1000,475,525,0,47.5,3.1,89.9,0.163
BM-GA-1,BM-TLAG-3,1000,473,527,0,47.3,3.1,91.9,0.166
BM-GA-1,BM-TLAG-4,1000,492,508,0,49.2,3.1,89.0,0.173
BM-GA-2,BM-GA-3,1000,496,504,0,49.6,3.1,86.7,3.414
BM-GA-2,BM-GA-4,1000,473,527,0,47.3,3.1,85.6,11.813
BM-GA-2,BM-TLA-1,1000,554,446,0,55.4,3.1,91.2,0.672
BM-GA-2,BM-TLA-2,1000,434,566,0,43.4,3.1,91.5,1.204
BM-GA-2,BM-TLA-3,1000,396,604,0,39.6,3.0,89.7,1.843
BM-GA-2,BM-TLA-4,1000,436,564,0,43.6,3.1,90.1,5.381
BM-GA-2,BM-TLAG-1,1000,541,459,0,54.1,3.1,88.9,0.612
BM-GA-2,BM-TLAG-2,1000,528,472,0,52.8,3.1,89.1,0.65
BM-GA-2,BM-TLAG-3,1000,541,459,0,54.1,3.1,87.4,0.635
BM-GA-2,BM-TLAG-4,1000,502,498,0,50.2,3.1,91.6,0.656
BM-GA-3,BM-GA-4,1000,498,502,0,49.8,3.1,84.4,13.221
BM-GA-3,BM-TLA-1,1000,564,436,0,56.4,3.1,89.7,3.049
BM-GA-3,BM-TLA-2,1000,443,557,0,44.3,3.1,91.5,3.442
BM-GA-3,BM-TLA-3,1000,448,552,0,44.8,3.1,89.2,3.901
BM-GA-3,BM-TLA-4,1000,443,557,0,44.3,3.1,90.4,7.012
BM-GA-3,BM-TLAG-1,1000,559,441,0,55.9,3.1,87.0,2.872
BM-GA-3,BM-TLAG-2,1000,519,481,0,51.9,3.1,90.6,2.975
BM-GA-3,BM-TLAG-3,1000,530,470,0,53.0,3.1,88.7,2.99
BM-GA-3,BM-TLAG-4,1000,544,456,0,54.4,3.1,88.1,2.93
BM-GA-4,BM-TLA-1,1000,545,455,0,54.5,3.1,91.3,12.108
BM-GA-4,BM-TLA-2,1000,454,546,0,45.4,3.1,91.4,12.122
BM-GA-4,BM-TLA-3,1000,443,557,0,44.3,3.1,91.2,12.493
BM-GA-4,BM-TLA-4,1000,442,558,0,44.2,3.1,90.1,15.191
BM-GA-4,BM-TLAG-1,1000,556,444,0,55.6,3.1,85.7,11.412
BM-GA-4,BM-TLAG-2,1000,529,471,0,52.9,3.1,87.9,11.664
BM-GA-4,BM-TLAG-3,1000,535,465,0,53.5,3.1,87.5,11.52
BM-GA-4,BM-TLAG-4,1000,560,440,0,56.0,3.1,87.8,11.736
BM-TLA-1,BM-TLA-2,1000,410,590,0,41.0,3.0,98.2,0.713
BM-TLA-1,BM-TLA-3,1000,423,576,1,42.3,3.1,96.3,1.32
BM-TLA-1,BM-TLA-4,1000,365,635,0,36.5,3.0,96.9,4.291
BM-TLA-1,BM-TLAG-1,1000,476,524,0,47.6,3.1,96.1,0.056
BM-TLA-1,BM-TLAG-2,1000,493,507,0,49.3,3.1,96.6,0.081
BM-TLA-1,BM-TLAG-3,1000,460,540,0,46.0,3.1,96.1,0.081
BM-TLA-1,BM-TLAG-4,1000,496,504,0,49.6,3.1,93.7,0.092
BM-TLA-2,BM-TLA-3,1000,491,509,0,49.1,3.1,95.4,1.862
BM-TLA-2,BM-TLA-4,1000,468,532,0,46.8,3.1,97.1,4.934
BM-TLA-2,BM-TLAG-1,1000,562,438,0,56.2,3.1,93.1,0.636
BM-TLA-2,BM-TLAG-2,1000,582,418,0,58.2,3.1,93.6,0.614
BM-TLA-2,BM-TLAG-3,1000,601,399,0,60.1,3.0,95.6,0.559
BM-TLA-2,BM-TLAG-4,1000,607,393,0,60.7,3.0,94.7,0.526
BM-TLA-3,BM-TLA-4,1000,454,546,0,45.4,3.1,95.1,5.172
BM-TLA-3,BM-TLAG-1,1000,625,375,0,62.5,3.0,94.1,1.219
BM-TLA-3,BM-TLAG-2,1000,587,413,0,58.7,3.1,95.5,1.22
BM-TLA-3,BM-TLAG-3,1000,592,408,0,59.2,3.0,91.4,1.368
BM-TLA-3,BM-TLAG-4,1000,596,404,0,59.6,3.0,94.1,1.209
BM-TLA-4,BM-TLAG-1,1000,633,367,0,63.3,3.0,91.4,3.78
BM-TLA-4,BM-TLAG-2,1000,619,381,0,61.9,3.0,92.4,3.8
BM-TLA-4,BM-TLAG-3,1000,615,385,0,61.5,3.0,91.5,3.804
BM-TLA-4,BM-TLAG-4,1000,623,377,0,62.3,3.0,94.2,4.183
BM-TLAG-1,BM-TLAG-2,1000,480,520,0,48.0,3.1,91.1,0.053
BM-TLAG-1,BM-TLAG-3,1000,455,545,0,45.5,3.1,90.7,0.046
BM-TLAG-1,BM-TLAG-4,1000,483,517,0,48.3,3.1,91.5,0.048
BM-TLAG-2,BM-TLAG-3,1000,493,507,0,49.3,3.1,90.9,0.074
BM-TLAG-2,BM-TLAG-4,1000,499,501,0,49.9,3.1,91.8,0.076
BM-TLAG-3,BM-TLAG-4,1000,511,489,0,51.1,3.1,93.0,0.075
