agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Fuzzy,1000,528,472,0,52.8,3.1,82.2,8.074
GA-Expert,GA-Original,1000,482,518,0,48.2,3.1,78.7,5.976
GA-Expert,PSA,1000,526,474,0,52.6,3.1,82.5,3.316
GA-Expert,LOOK,1000,491,509,0,49.1,3.1,84.7,4.016
GA-Expert,LOOK-A3-simple-stack,1000,467,533,0,46.7,3.1,84.4,3.418
GA-Expert,LOOK-no-LA,1000,501,499,0,50.1,3.1,81.1,3.302
GA-Expert,LOOK-no-enum,1000,491,509,0,49.1,3.1,85.3,5.053
GA-Expert,MCTS-800-h,1000,722,278,0,72.2,2.8,80.4,35.505
GA-Expert,Random,1000,973,27,0,97.3,1.0,59.8,3.2
GA-Expert,TD-Greedy,1000,441,559,0,44.1,3.1,77.0,10.051
GA-Expert,TLA-NN,1000,426,574,0,42.6,3.1,78.5,35.545
GA-Fuzzy,GA-Original,1000,406,594,0,40.6,3.0,85.0,8.238
GA-Fuzzy,PSA,1000,524,476,0,52.4,3.1,84.3,4.953
GA-Fuzzy,LOOK,1000,417,583,0,41.7,3.1,87.6,5.707
GA-Fuzzy,LOOK-A3-simple-stack,1000,404,596,0,40.4,3.0,86.0,4.777
GA-Fuzzy,LOOK-no-LA,1000,475,525,0,47.5,3.1,86.8,4.948
GA-Fuzzy,LOOK-no-enum,1000,397,603,0,39.7,3.0,87.7,6.666
GA-Fuzzy,MCTS-800-h,1000,702,298,0,70.2,2.8,82.6,37.53
GA-Fuzzy,Random,1000,967,33,0,96.7,1.1,62.8,4.828
GA-Fuzzy,TD-Greedy,1000,402,598,0,40.2,3.0,79.1,16.409
GA-Fuzzy,TLA-NN,1000,396,604,0,39.6,3.0,79.9,36.274
GA-Original,PSA,1000,554,446,0,55.4,3.1,84.8,3.148
GA-Original,LOOK,1000,444,556,0,44.4,3.1,91.6,4.338
GA-Original,LOOK-A3-simple-stack,1000,441,559,0,44.1,3.1,89.5,3.452
GA-Original,LOOK-no-LA,1000,522,478,0,52.2,3.1,88.9,3.151
GA-Original,LOOK-no-enum,1000,463,537,0,46.3,3.1,92.3,4.781
GA-Original,MCTS-800-h,1000,749,251,0,74.9,2.7,80.7,35.694
GA-Original,Random,1000,972,28,0,97.2,1.0,61.6,2.851
GA-Original,TD-Greedy,1000,433,567,0,43.3,3.1,78.4,9.187
GA-Original,TLA-NN,1000,418,582,0,41.8,3.1,80.4,37.789
PSA,LOOK,1000,384,616,0,38.4,3.0,93.3,0.75
PSA,LOOK-A3-simple-stack,1000,379,621,0,37.9,3.0,88.0,0.688
PSA,LOOK-no-LA,1000,477,523,0,47.7,3.1,89.9,0.157
PSA,LOOK-no-enum,1000,433,567,0,43.3,3.1,92.9,1.594
PSA,MCTS-800-h,1000,700,300,0,70.0,2.8,84.0,34.666
PSA,Random,1000,964,36,0,96.4,1.2,63.8,0.108
PSA,TD-Greedy,1000,347,653,0,34.7,3.0,79.3,1.452
PSA,TLA-NN,1000,347,653,0,34.7,3.0,81.4,22.474
LOOK,LOOK-A3-simple-stack,1000,446,553,1,44.6,3.1,94.2,1.175
LOOK,LOOK-no-LA,1000,585,415,0,58.5,3.1,96.2,0.695
LOOK,LOOK-no-enum,1000,523,477,0,52.3,3.1,97.9,2.705
LOOK,MCTS-800-h,1000,712,288,0,71.2,2.8,87.2,35.925
LOOK,Random,1000,967,33,0,96.7,1.1,63.7,0.555
LOOK,TD-Greedy,1000,375,625,0,37.5,3.0,82.3,2.39
LOOK,TLA-NN,1000,410,590,0,41.0,3.0,82.1,23.223
LOOK-A3-simple-stack,LOOK-no-LA,1000,611,389,0,61.1,3.0,91.4,0.668
LOOK-A3-simple-stack,LOOK-no-enum,1000,576,424,0,57.6,3.1,94.0,2.185
LOOK-A3-simple-stack,MCTS-800-h,1000,775,225,0,77.5,2.6,81.9,35.399
LOOK-A3-simple-stack,Random,1000,969,31,0,96.9,1.1,62.8,0.676
LOOK-A3-simple-stack,TD-Greedy,1000,490,510,0,49.0,3.1,81.7,2.006
LOOK-A3-simple-stack,TLA-NN,1000,472,528,0,47.2,3.1,83.8,45.152
LOOK-no-LA,LOOK-no-enum,1000,436,564,0,43.6,3.1,92.4,1.7
LOOK-no-LA,MCTS-800-h,1000,702,298,0,70.2,2.8,83.3,35.655
LOOK-no-LA,Random,1000,964,36,0,96.4,1.2,64.0,0.072
LOOK-no-LA,TD-Greedy,1000,405,595,0,40.5,3.0,80.9,1.162
LOOK-no-LA,TLA-NN,1000,372,628,0,37.2,3.0,80.4,25.668
LOOK-no-enum,MCTS-800-h,1000,702,298,0,70.2,2.8,87.1,37.96
LOOK-no-enum,Random,1000,961,39,0,96.1,1.2,64.9,0.87
LOOK-no-enum,TD-Greedy,1000,386,614,0,38.6,3.0,82.6,5.518
LOOK-no-enum,TLA-NN,1000,392,608,0,39.2,3.0,82.6,26.94
MCTS-800-h,Random,1000,933,67,0,93.3,1.5,67.4,27.853
MCTS-800-h,TD-Greedy,1000,255,745,0,25.5,2.7,77.0,71.193
MCTS-800-h,TLA-NN,1000,191,809,0,19.1,2.4,77.3,195.376
Random,TD-Greedy,1000,25,975,0,2.5,1.0,58.4,7.368
Random,TLA-NN,1000,19,981,0,1.9,0.8,60.1,44.445
TD-Greedy,TLA-NN,1000,513,487,0,51.3,3.1,78.3,11.453
