game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
148,MCTS-200,MCTS-800,925,-1,42,25.761,0,7,1,8
149,MCTS-200,MCTS-800,926,-1,42,27.949,0,5,3,8
150,MCTS-200,MCTS-800,927,1,75,32.05,2,0,8,6
151,MCTS-200,MCTS-800,928,-1,48,36.857,0,7,1,8
196,MCTS-200,MCTS-800,973,-1,64,22.937,0,3,5,8
197,MCTS-200,MCTS-800,974,1,75,33.644,1,0,8,7
198,MCTS-200,MCTS-800,975,-1,142,37.34,0,1,7,8
199,MCTS-200,MCTS-800,976,-1,40,28.693,0,8,0,8
144,MCTS-200,MCTS-800,921,-1,52,42.884,0,4,4,8
145,MCTS-200,MCTS-800,922,-1,66,39.44,0,2,6,8
146,MCTS-200,MCTS-800,923,1,111,26.165,1,0,8,7
147,MCTS-200,MCTS-800,924,-1,52,18.195,0,7,1,8
0,MCTS-200,MCTS-800,777,-1,56,49.054,0,5,3,8
1,MCTS-200,MCTS-800,778,1,57,15.366,1,0,8,7
2,MCTS-200,MCTS-800,779,-1,58,33.601,0,5,3,8
3,MCTS-200,MCTS-800,780,-1,50,43.225,0,4,4,8
164,MCTS-200,MCTS-800,941,-1,64,38.171,0,1,7,8
165,MCTS-200,MCTS-800,942,-1,44,28.594,0,6,2,8
166,MCTS-200,MCTS-800,943,-1,64,46.402,0,5,3,8
167,MCTS-200,MCTS-800,944,-1,74,29.813,0,3,5,8
8,MCTS-200,MCTS-800,785,-1,56,53.967,0,4,4,8
9,MCTS-200,MCTS-800,786,-1,84,19.267,0,2,6,8
10,MCTS-200,MCTS-800,787,-1,74,39.252,0,3,5,8
11,MCTS-200,MCTS-800,788,1,65,31.042,4,0,8,4
80,MCTS-200,MCTS-800,857,-1,66,56.101,0,4,4,8
81,MCTS-200,MCTS-800,858,-1,48,19.476,0,4,4,8
82,MCTS-200,MCTS-800,859,-1,48,26.481,0,4,4,8
83,MCTS-200,MCTS-800,860,1,119,46.103,1,0,8,7
40,MCTS-200,MCTS-800,817,-1,110,38.073,0,2,6,8
41,MCTS-200,MCTS-800,818,-1,56,38.275,0,4,4,8
42,MCTS-200,MCTS-800,819,-1,88,34.098,0,1,7,8
43,MCTS-200,MCTS-800,820,-1,86,39.917,0,5,3,8
192,MCTS-200,MCTS-800,969,1,87,53.864,3,0,8,5
193,MCTS-200,MCTS-800,970,-1,40,33.728,0,6,2,8
194,MCTS-200,MCTS-800,971,-1,60,35.44,0,7,1,8
195,MCTS-200,MCTS-800,972,-1,54,28.289,0,3,5,8
136,MCTS-200,MCTS-800,913,-1,70,36.934,0,2,6,8
137,MCTS-200,MCTS-800,914,-1,70,43.155,0,3,5,8
138,MCTS-200,MCTS-800,915,-1,84,46.924,0,2,6,8
139,MCTS-200,MCTS-800,916,-1,76,24.851,0,2,6,8
44,MCTS-200,MCTS-800,821,1,93,23.347,3,0,8,5
45,MCTS-200,MCTS-800,822,1,125,40.264,1,0,8,7
46,MCTS-200,MCTS-800,823,-1,82,40.228,0,2,6,8
47,MCTS-200,MCTS-800,824,-1,64,48.794,0,6,2,8
180,MCTS-200,MCTS-800,957,-1,48,40.697,0,2,6,8
181,MCTS-200,MCTS-800,958,1,89,31.831,3,0,8,5
182,MCTS-200,MCTS-800,959,1,69,49.374,2,0,8,6
183,MCTS-200,MCTS-800,960,1,71,36.621,4,0,8,4
188,MCTS-200,MCTS-800,965,-1,110,37.792,0,2,6,8
189,MCTS-200,MCTS-800,966,1,131,49.884,2,0,8,6
190,MCTS-200,MCTS-800,967,-1,102,33.609,0,4,4,8
191,MCTS-200,MCTS-800,968,1,131,38.877,2,0,8,6
132,MCTS-200,MCTS-800,909,-1,160,40.375,0,2,6,8
