agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,400,177,223,0,44.2,4.9,79.6,5.974
GA-Expert,PSA,400,232,168,0,58.0,4.8,78.6,3.339
GA-Expert,LOOK,400,182,218,0,45.5,4.9,87.4,3.892
GA-Expert,LOOK-A3-simple-stack,400,171,229,0,42.8,4.8,81.9,3.832
GA-Expert,MCTS-200,400,373,27,0,93.2,2.5,64.1,9.496
GA-Expert,MCTS-200-h,400,358,42,0,89.5,3.0,71.1,9.611
GA-Expert,MCTS-800,400,332,68,0,83.0,3.7,69.9,29.604
GA-Expert,MCTS-800-h,400,302,98,0,75.5,4.2,81.7,33.174
GA-Expert,Random,400,384,16,0,96.0,1.9,61.7,3.302
GA-Original,PSA,400,210,190,0,52.5,4.9,85.5,3.296
GA-Original,LOOK,400,187,213,0,46.8,4.9,93.2,3.863
GA-Original,LOOK-A3-simple-stack,400,196,204,0,49.0,4.9,92.1,3.818
GA-Original,MCTS-200,400,365,35,0,91.2,2.8,65.1,9.779
GA-Original,MCTS-200-h,400,326,74,0,81.5,3.8,75.3,10.156
GA-Original,MCTS-800,400,350,50,0,87.5,3.2,68.2,30.106
GA-Original,MCTS-800-h,400,299,101,0,74.8,4.3,81.1,33.702
GA-Original,Random,400,393,7,0,98.2,1.3,60.8,3.02
PSA,LOOK,400,148,252,0,37.0,4.7,90.1,0.734
PSA,LOOK-A3-simple-stack,400,161,239,0,40.2,4.8,85.4,0.803
PSA,MCTS-200,400,362,38,0,90.5,2.9,67.4,6.74
PSA,MCTS-200-h,400,328,72,0,82.0,3.8,75.8,7.141
PSA,MCTS-800,400,318,82,0,79.5,4.0,73.9,29.591
PSA,MCTS-800-h,400,258,142,0,64.5,4.7,84.9,32.941
PSA,Random,400,382,18,0,95.5,2.0,63.0,0.103
LOOK,LOOK-A3-simple-stack,400,177,223,0,44.2,4.9,97.0,1.218
LOOK,MCTS-200,400,362,38,0,90.5,2.9,71.9,7.372
LOOK,MCTS-200-h,400,330,70,0,82.5,3.7,85.5,8.002
LOOK,MCTS-800,400,348,52,0,87.0,3.3,71.6,29.097
LOOK,MCTS-800-h,400,282,118,0,70.5,4.5,87.4,32.859
LOOK,Random,400,382,18,0,95.5,2.0,65.8,0.477
LOOK-A3-simple-stack,MCTS-200,400,378,22,0,94.5,2.2,65.2,7.037
LOOK-A3-simple-stack,MCTS-200-h,400,349,51,0,87.2,3.3,75.1,7.509
LOOK-A3-simple-stack,MCTS-800,400,363,37,0,90.8,2.8,70.9,27.484
LOOK-A3-simple-stack,MCTS-800-h,400,310,90,0,77.5,4.1,85.3,32.611
LOOK-A3-simple-stack,Random,400,383,17,0,95.8,2.0,63.6,0.469
MCTS-200,MCTS-200-h,400,166,234,0,41.5,4.8,85.9,17.421
MCTS-200,MCTS-800,400,124,276,0,31.0,4.5,81.9,44.014
MCTS-200,MCTS-800-h,400,56,344,0,14.0,3.4,75.1,40.392
MCTS-200,Random,400,313,87,0,78.2,4.0,85.4,9.093
MCTS-200-h,MCTS-800,400,205,195,0,51.2,4.9,85.5,43.49
MCTS-200-h,MCTS-800-h,400,110,290,0,27.5,4.4,82.1,43.287
MCTS-200-h,Random,400,332,68,0,83.0,3.7,81.5,8.754
MCTS-800,MCTS-800-h,400,102,298,0,25.5,4.3,78.1,65.173
MCTS-800,Random,400,352,48,0,88.0,3.2,73.3,33.806
MCTS-800-h,Random,400,375,25,0,93.8,2.4,67.4,31.755
