game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
144,MCTST-800-h,MCTST-800-h-d2,2170,1,63,64.745,4,0,8,4
145,MCTST-800-h,MCTST-800-h-d2,2171,1,57,56.777,4,0,8,4
146,MCTST-800-h,MCTST-800-h-d2,2172,1,51,42.832,5,0,8,3
147,MCTST-800-h,MCTST-800-h-d2,2173,-1,134,53.018,0,1,7,8
236,MCTST-800-h-d2,MCTST-800-h,2262,1,55,39.89,6,0,8,2
237,MCTST-800-h-d2,MCTST-800-h,2263,1,95,56.699,2,0,8,6
238,MCTST-800-h-d2,MCTST-800-h,2264,1,53,56.191,5,0,8,3
239,MCTST-800-h-d2,MCTST-800-h,2265,1,81,72.483,3,0,8,5
196,MCTST-800-h,MCTST-800-h-d2,2222,1,147,68.319,1,0,8,7
197,MCTST-800-h,MCTST-800-h-d2,2223,-1,106,51.155,0,2,6,8
198,MCTST-800-h,MCTST-800-h-d2,2224,-1,52,60.366,0,3,5,8
199,MCTST-800-h,MCTST-800-h-d2,2225,1,67,52.101,6,0,8,2
212,MCTST-800-h-d2,MCTST-800-h,2238,1,131,55.932,4,0,8,4
213,MCTST-800-h-d2,MCTST-800-h,2239,-1,58,69.899,0,3,5,8
214,MCTST-800-h-d2,MCTST-800-h,2240,1,91,45.463,3,0,8,5
215,MCTST-800-h-d2,MCTST-800-h,2241,1,59,60.699,2,0,8,6
112,MCTST-800-h,MCTST-800-h-d2,2138,-1,50,57.777,0,5,3,8
113,MCTST-800-h,MCTST-800-h-d2,2139,-1,82,66.396,0,3,5,8
114,MCTST-800-h,MCTST-800-h-d2,2140,1,111,72.132,1,0,8,7
115,MCTST-800-h,MCTST-800-h-d2,2141,-1,30,36.403,0,6,2,8
192,MCTST-800-h,MCTST-800-h-d2,2218,1,49,69.382,3,0,8,5
193,MCTST-800-h,MCTST-800-h-d2,2219,1,49,61.199,2,0,8,6
194,MCTST-800-h,MCTST-800-h-d2,2220,-1,50,55.931,0,3,5,8
195,MCTST-800-h,MCTST-800-h-d2,2221,1,51,51.027,6,0,8,2
180,MCTST-800-h,MCTST-800-h-d2,2206,1,99,55.24,2,0,8,6
181,MCTST-800-h,MCTST-800-h-d2,2207,1,75,71.528,3,0,8,5
182,MCTST-800-h,MCTST-800-h-d2,2208,1,51,54.814,5,0,8,3
183,MCTST-800-h,MCTST-800-h-d2,2209,-1,70,56.85,0,3,5,8
40,MCTST-800-h,MCTST-800-h-d2,2066,-1,56,64.776,0,3,5,8
41,MCTST-800-h,MCTST-800-h-d2,2067,-1,100,54.386,0,3,5,8
42,MCTST-800-h,MCTST-800-h-d2,2068,1,91,77.542,2,0,8,6
43,MCTST-800-h,MCTST-800-h-d2,2069,1,67,47.24,7,0,8,1
44,MCTST-800-h,MCTST-800-h-d2,2070,-1,94,53.421,0,6,2,8
45,MCTST-800-h,MCTST-800-h-d2,2071,-1,68,64.577,0,5,3,8
46,MCTST-800-h,MCTST-800-h-d2,2072,1,103,62.255,3,0,8,5
