agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Original,LOOK-A3-simple-stack,400,171,229,0,42.8,4.8,90.0,3.729
GA-Original,MCTS-800-h,400,303,97,0,75.8,4.2,81.3,32.99
GA-Original,MCTST-800-h,400,305,95,0,76.2,4.2,77.2,35.06
GA-Original,MCTST-800-h-d2,400,312,88,0,78.0,4.1,77.0,33.343
GA-Original,MCTST-800-h-d6,400,309,91,0,77.2,4.1,77.4,36.973
LOOK-A3-simple-stack,MCTS-800-h,400,289,111,0,72.2,4.4,86.1,32.652
LOOK-A3-simple-stack,MCTST-800-h,400,314,86,0,78.5,4.0,81.3,33.342
LOOK-A3-simple-stack,MCTST-800-h-d2,400,293,107,0,73.2,4.3,82.9,33.076
LOOK-A3-simple-stack,MCTST-800-h-d6,400,298,102,0,74.5,4.3,77.9,35.571
MCTS-800-h,MCTST-800-h,400,226,174,0,56.5,4.9,84.8,69.454
MCTS-800-h,MCTST-800-h-d2,400,213,187,0,53.2,4.9,86.1,69.242
MCTS-800-h,MCTST-800-h-d6,400,235,165,0,58.8,4.8,85.2,70.882
MCTST-800-h,MCTST-800-h-d2,400,204,196,0,51.0,4.9,83.7,70.179
MCTST-800-h,MCTST-800-h-d6,400,197,203,0,49.2,4.9,84.6,73.88
MCTST-800-h-d2,MCTST-800-h-d6,400,204,196,0,51.0,4.9,83.4,71.029
