game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
144,MCTST-800-h,MCTST-800-h-d2,2170,1,63,66.673,4,0,8,4
145,MCTST-800-h,MCTST-800-h-d2,2171,1,57,57.146,4,0,8,4
146,MCTST-800-h,MCTST-800-h-d2,2172,1,51,44.303,5,0,8,3
147,MCTST-800-h,MCTST-800-h-d2,2173,-1,134,53.552,0,1,7,8
196,MCTST-800-h,MCTST-800-h-d2,2222,1,147,66.293,1,0,8,7
197,MCTST-800-h,MCTST-800-h-d2,2223,-1,106,51.635,0,2,6,8
198,MCTST-800-h,MCTST-800-h-d2,2224,-1,52,58.423,0,3,5,8
199,MCTST-800-h,MCTST-800-h-d2,2225,1,67,50.954,6,0,8,2
112,MCTST-800-h,MCTST-800-h-d2,2138,-1,50,55.373,0,5,3,8
113,MCTST-800-h,MCTST-800-h-d2,2139,-1,82,67.087,0,3,5,8
114,MCTST-800-h,MCTST-800-h-d2,2140,1,111,71.263,1,0,8,7
115,MCTST-800-h,MCTST-800-h-d2,2141,-1,30,34.936,0,6,2,8
192,MCTST-800-h,MCTST-800-h-d2,2218,1,49,67.224,3,0,8,5
193,MCTST-800-h,MCTST-800-h-d2,2219,1,49,59.493,2,0,8,6
194,MCTST-800-h,MCTST-800-h-d2,2220,-1,50,52.615,0,3,5,8
195,MCTST-800-h,MCTST-800-h-d2,2221,1,51,49.28,6,0,8,2
216,MCTST-800-h,MCTST-800-h-d2,2242,-1,74,76.352,0,3,5,8
217,MCTST-800-h,MCTST-800-h-d2,2243,1,73,46.107,6,0,8,2
218,MCTST-800-h,MCTST-800-h-d2,2244,-1,94,45.154,0,1,7,8
219,MCTST-800-h,MCTST-800-h-d2,2245,1,75,67.764,3,0,8,5
180,MCTST-800-h,MCTST-800-h-d2,2206,1,99,54.496,2,0,8,6
181,MCTST-800-h,MCTST-800-h-d2,2207,1,75,73.03,3,0,8,5
182,MCTST-800-h,MCTST-800-h-d2,2208,1,51,53.534,5,0,8,3
183,MCTST-800-h,MCTST-800-h-d2,2209,-1,70,57.772,0,3,5,8
40,MCTST-800-h,MCTST-800-h-d2,2066,-1,56,63.922,0,3,5,8
41,MCTST-800-h,MCTST-800-h-d2,2067,-1,100,53.48,0,3,5,8
42,MCTST-800-h,MCTST-800-h-d2,2068,1,91,75.924,2,0,8,6
43,MCTST-800-h,MCTST-800-h-d2,2069,1,67,46.629,7,0,8,1
24,MCTST-800-h,MCTST-800-h-d2,2050,1,63,73.821,4,0,8,4
25,MCTST-800-h,MCTST-800-h-d2,2051,-1,52,47.623,0,8,0,8
26,MCTST-800-h,MCTST-800-h-d2,2052,-1,58,45.682,0,5,3,8
27,MCTST-800-h,MCTST-800-h-d2,2053,1,73,73.871,2,0,8,6
232,MCTST-800-h,MCTST-800-h-d2,2258,-1,68,64.613,0,6,2,8
233,MCTST-800-h,MCTST-800-h-d2,2259,-1,74,38.721,0,2,6,8
234,MCTST-800-h,MCTST-800-h-d2,2260,1,91,68.222,1,0,8,7
235,MCTST-800-h,MCTST-800-h-d2,2261,1,79,70.813,2,0,8,6
72,MCTST-800-h,MCTST-800-h-d2,2098,1,71,50.282,7,0,8,1
73,MCTST-800-h,MCTST-800-h-d2,2099,1,53,45.986,5,0,8,3
74,MCTST-800-h,MCTST-800-h-d2,2100,1,71,77.247,5,0,8,3
75,MCTST-800-h,MCTST-800-h-d2,2101,-1,72,69.348,0,3,5,8
212,MCTST-800-h,MCTST-800-h-d2,2238,-1,142,79.939,0,2,6,8
213,MCTST-800-h,MCTST-800-h-d2,2239,-1,130,66.71,0,2,6,8
214,MCTST-800-h,MCTST-800-h-d2,2240,-1,78,59.783,0,2,6,8
215,MCTST-800-h,MCTST-800-h-d2,2241,1,51,41.262,3,0,8,5
12,MCTST-800-h,MCTST-800-h-d2,2038,1,81,71.025,3,0,8,5
13,MCTST-800-h,MCTST-800-h-d2,2039,1,97,59.627,1,0,8,7
14,MCTST-800-h,MCTST-800-h-d2,2040,-1,74,58.692,0,1,7,8
15,MCTST-800-h,MCTST-800-h-d2,2041,1,65,59.408,4,0,8,4
20,MCTST-800-h,MCTST-800-h-d2,2046,1,73,60.317,5,0,8,3
21,MCTST-800-h,MCTST-800-h-d2,2047,1,61,48.829,4,0,8,4
22,MCTST-800-h,MCTST-800-h-d2,2048,1,59,84.321,4,0,8,4
23,MCTST-800-h,MCTST-800-h-d2,2049,-1,92,55.977,0,1,7,8
44,MCTST-800-h,MCTST-800-h-d2,2070,-1,94,55.343,0,6,2,8
45,MCTST-800-h,MCTST-800-h-d2,2071,-1,68,65.764,0,5,3,8
46,MCTST-800-h,MCTST-800-h-d2,2072,1,103,64.494,3,0,8,5
47,MCTST-800-h,MCTST-800-h-d2,2073,1,47,64.715,5,0,8,3
200,MCTST-800-h,MCTST-800-h-d2,2226,1,85,86.509,2,0,8,6
201,MCTST-800-h,MCTST-800-h-d2,2227,1,53,48.681,5,0,8,3
202,MCTST-800-h,MCTST-800-h-d2,2228,-1,50,46.803,0,5,3,8
203,MCTST-800-h,MCTST-800-h-d2,2229,1,57,69.255,6,0,8,2
68,MCTST-800-h,MCTST-800-h-d2,2094,1,83,68.992,3,0,8,5
69,MCTST-800-h,MCTST-800-h-d2,2095,-1,74,53.167,0,3,5,8
70,MCTST-800-h,MCTST-800-h-d2,2096,1,59,60.626,2,0,8,6
71,MCTST-800-h,MCTST-800-h-d2,2097,-1,72,73.932,0,4,4,8
60,MCTST-800-h,MCTST-800-h-d2,2086,1,81,50.015,3,0,8,5
61,MCTST-800-h,MCTST-800-h-d2,2087,-1,206,67.29,0,1,7,8
62,MCTST-800-h,MCTST-800-h-d2,2088,1,155,84.267,1,0,8,7
63,MCTST-800-h,MCTST-800-h-d2,2089,-1,82,57.3,0,1,7,8
228,MCTST-800-h,MCTST-800-h-d2,2254,1,113,79.264,3,0,8,5
229,MCTST-800-h,MCTST-800-h-d2,2255,1,61,73.625,4,0,8,4
230,MCTST-800-h,MCTST-800-h-d2,2256,1,77,63.436,3,0,8,5
231,MCTST-800-h,MCTST-800-h-d2,2257,-1,46,45.978,0,5,3,8
92,MCTST-800-h,MCTST-800-h-d2,2118,1,61,62.977,6,0,8,2
93,MCTST-800-h,MCTST-800-h-d2,2119,-1,106,61.149,0,3,5,8
94,MCTST-800-h,MCTST-800-h-d2,2120,1,67,75.588,2,0,8,6
95,MCTST-800-h,MCTST-800-h-d2,2121,1,71,63.247,2,0,8,6
168,MCTST-800-h,MCTST-800-h-d2,2194,-1,74,84.315,0,3,5,8
169,MCTST-800-h,MCTST-800-h-d2,2195,1,97,55.742,2,0,8,6
170,MCTST-800-h,MCTST-800-h-d2,2196,-1,72,70.979,0,2,6,8
171,MCTST-800-h,MCTST-800-h-d2,2197,-1,94,52.43,0,1,7,8
4,MCTST-800-h,MCTST-800-h-d2,2030,1,127,52.166,1,0,8,7
5,MCTST-800-h,MCTST-800-h-d2,2031,-1,56,46.11,0,4,4,8
6,MCTST-800-h,MCTST-800-h-d2,2032,-1,58,61.877,0,3,5,8
7,MCTST-800-h,MCTST-800-h-d2,2033,1,141,105.542,2,0,8,6
108,MCTST-800-h,MCTST-800-h-d2,2134,-1,96,74.18,0,1,7,8
109,MCTST-800-h,MCTST-800-h-d2,2135,-1,80,69.687,0,1,7,8
