game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
8,PSA,PSA-X,20260915,1,85,0.157,2,0,8,6
9,PSA,PSA-X,20260916,-1,48,0.086,0,6,2,8
10,PSA,PSA-X,20260917,-1,84,0.209,0,2,6,8
11,PSA,PSA-X,20260918,-1,96,0.202,0,2,6,8
12,PSA,PSA-X,20260919,1,73,0.157,5,0,8,3
13,PSA,PSA-X,20260920,-1,86,0.184,0,4,4,8
14,PSA,PSA-X,20260921,1,87,0.182,3,0,8,5
15,PSA,PSA-X,20260922,1,51,0.179,5,0,8,3
16,PSA,PSA-X,20260923,-1,146,0.345,0,1,7,8
17,PSA,PSA-X,20260924,-1,72,0.177,0,7,1,8
18,PSA,PSA-X,20260925,1,135,0.181,2,0,8,6
19,PSA,PSA-X,20260926,1,69,0.219,5,0,8,3
4,PSA,PSA-X,20260911,-1,100,0.239,0,1,7,8
5,PSA,PSA-X,20260912,1,109,0.217,2,0,8,6
6,PSA,PSA-X,20260913,1,113,0.262,3,0,8,5
7,PSA,PSA-X,20260914,1,71,0.223,2,0,8,6
0,PSA,PSA-X,20260907,1,61,0.174,6,0,8,2
1,PSA,PSA-X,20260908,1,127,0.229,1,0,8,7
2,PSA,PSA-X,20260909,1,97,0.235,3,0,8,5
3,PSA,PSA-X,20260910,-1,112,0.358,0,1,7,8
24,PSA,PSA-X,20260931,-1,80,0.255,0,5,3,8
25,PSA,PSA-X,20260932,1,125,0.235,3,0,8,5
26,PSA,PSA-X,20260933,1,81,0.174,4,0,8,4
27,PSA,PSA-X,20260934,-1,78,0.13,0,4,4,8
36,PSA,PSA-X,20260943,1,81,0.219,2,0,8,6
37,PSA,PSA-X,20260944,-1,78,0.134,0,2,6,8
38,PSA,PSA-X,20260945,1,79,0.127,7,0,8,1
39,PSA,PSA-X,20260946,-1,96,0.234,0,1,7,8
28,PSA,PSA-X,20260935,1,57,0.166,3,0,8,5
29,PSA,PSA-X,20260936,-1,56,0.159,0,2,6,8
30,PSA,PSA-X,20260937,1,165,0.328,3,0,8,5
31,PSA,PSA-X,20260938,1,61,0.132,7,0,8,1
20,PSA,PSA-X,20260927,-1,84,0.254,0,3,5,8
21,PSA,PSA-X,20260928,1,103,0.32,2,0,8,6
22,PSA,PSA-X,20260929,1,129,0.275,2,0,8,6
23,PSA,PSA-X,20260930,1,105,0.308,3,0,8,5
32,PSA,PSA-X,20260939,1,123,0.317,1,0,8,7
33,PSA,PSA-X,20260940,-1,54,0.215,0,4,4,8
34,PSA,PSA-X,20260941,-1,76,0.204,0,3,5,8
35,PSA,PSA-X,20260942,1,67,0.165,4,0,8,4
40,PSA,PSA-X,20260947,1,49,0.127,5,0,8,3
41,PSA,PSA-X,20260948,1,125,0.172,1,0,8,7
42,PSA,PSA-X,20260949,1,137,0.228,1,0,8,7
43,PSA,PSA-X,20260950,1,107,0.249,1,0,8,7
52,PSA,PSA-X,20260959,-1,88,0.237,0,2,6,8
53,PSA,PSA-X,20260960,1,123,0.163,3,0,8,5
54,PSA,PSA-X,20260961,-1,66,0.14,0,2,6,8
55,PSA,PSA-X,20260962,1,63,0.147,2,0,8,6
48,PSA,PSA-X,20260955,1,71,0.125,4,0,8,4
49,PSA,PSA-X,20260956,1,117,0.223,2,0,8,6
50,PSA,PSA-X,20260957,1,83,0.228,4,0,8,4
51,PSA,PSA-X,20260958,1,93,0.349,3,0,8,5
56,PSA,PSA-X,20260963,-1,130,0.249,0,1,7,8
57,PSA,PSA-X,20260964,1,83,0.216,4,0,8,4
58,PSA,PSA-X,20260965,1,149,0.233,1,0,8,7
59,PSA,PSA-X,20260966,-1,104,0.118,0,1,7,8
44,PSA,PSA-X,20260951,1,87,0.262,2,0,8,6
45,PSA,PSA-X,20260952,-1,112,0.249,0,1,7,8
46,PSA,PSA-X,20260953,-1,78,0.22,0,6,2,8
47,PSA,PSA-X,20260954,1,71,0.234,5,0,8,3
60,PSA,PSA-X,20260967,1,65,0.237,4,0,8,4
61,PSA,PSA-X,20260968,-1,82,0.191,0,3,5,8
62,PSA,PSA-X,20260969,1,97,0.166,5,0,8,3
63,PSA,PSA-X,20260970,1,73,0.144,5,0,8,3
64,PSA,PSA-X,20260971,-1,56,0.139,0,5,3,8
65,PSA,PSA-X,20260972,-1,136,0.181,0,3,5,8
66,PSA,PSA-X,20260973,-1,102,0.184,0,1,7,8
67,PSA,PSA-X,20260974,1,37,0.114,5,0,8,3
72,PSA,PSA-X,20260979,-1,150,0.202,0,1,7,8
73,PSA,PSA-X,20260980,-1,72,0.152,0,4,4,8
74,PSA,PSA-X,20260981,-1,68,0.116,0,5,3,8
75,PSA,PSA-X,20260982,1,157,0.228,4,0,8,4
76,PSA,PSA-X,20260983,-1,88,0.241,0,2,6,8
77,PSA,PSA-X,20260984,-1,72,0.157,0,4,4,8
78,PSA,PSA-X,20260985,-1,68,0.154,0,2,6,8
79,PSA,PSA-X,20260986,-1,72,0.168,0,3,5,8
68,PSA,PSA-X,20260975,-1,134,0.274,0,1,7,8
69,PSA,PSA-X,20260976,1,59,0.21,6,0,8,2
70,PSA,PSA-X,20260977,-1,120,0.269,0,2,6,8
71,PSA,PSA-X,20260978,1,67,0.224,1,0,8,7
80,PSA,PSA-X,20260987,1,109,0.166,2,0,8,6
81,PSA,PSA-X,20260988,1,89,0.151,3,0,8,5
