agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,LOOK-A3-simple-stack,2000,933,1067,0,46.7,2.2,83.7,3.479
GA-Expert,PSA,2000,1040,960,0,52.0,2.2,81.7,3.842
GA-Expert,PSA-N,2000,1475,525,0,73.8,1.9,74.3,3.238
GA-Expert,PSA-X,2000,1065,935,0,53.2,2.2,80.8,3.458
LOOK-A3-simple-stack,PSA,2000,1231,769,0,61.6,2.1,88.7,0.837
LOOK-A3-simple-stack,PSA-N,2000,1536,464,0,76.8,1.8,79.1,0.473
LOOK-A3-simple-stack,PSA-X,2000,1215,785,0,60.8,2.1,89.2,0.766
PSA,PSA-N,2000,1390,610,0,69.5,2.0,79.4,0.188
PSA,PSA-X,2000,981,1019,0,49.0,2.2,86.9,0.195
PSA-N,PSA-X,2000,596,1404,0,29.8,2.0,79.1,0.19
