game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
12,TLA-NN,TD-Greedy,31427,-1,60,0.198,0,4,4,8
13,TLA-NN,TD-Greedy,31428,1,71,0.303,4,0,8,4
14,TLA-NN,TD-Greedy,31429,-1,48,0.111,0,6,2,8
15,TLA-NN,TD-Greedy,31430,-1,74,0.189,0,6,2,8
20,TLA-NN,TD-Greedy,31435,-1,58,0.326,0,6,2,8
21,TLA-NN,TD-Greedy,31436,1,71,0.437,5,0,8,3
22,TLA-NN,TD-Greedy,31437,1,123,0.239,2,0,8,6
23,TLA-NN,TD-Greedy,31438,1,43,0.337,8,0,8,0
152,TD-Greedy,TLA-NN,31567,-1,56,0.266,0,7,1,8
153,TD-Greedy,TLA-NN,31568,1,73,0.899,2,0,8,6
154,TD-Greedy,TLA-NN,31569,-1,40,0.228,0,6,2,8
155,TD-Greedy,TLA-NN,31570,-1,46,0.249,0,5,3,8
180,TD-Greedy,TLA-NN,31595,-1,52,0.313,0,5,3,8
181,TD-Greedy,TLA-NN,31596,-1,38,0.279,0,8,0,8
182,TD-Greedy,TLA-NN,31597,-1,144,0.157,0,2,6,8
183,TD-Greedy,TLA-NN,31598,-1,46,0.316,0,8,0,8
184,TD-Greedy,TLA-NN,31599,1,121,0.388,1,0,8,7
185,TD-Greedy,TLA-NN,31600,-1,118,0.234,0,1,7,8
186,TD-Greedy,TLA-NN,31601,-1,82,0.323,0,2,6,8
187,TD-Greedy,TLA-NN,31602,1,59,0.092,4,0,8,4
112,TLA-NN,TD-Greedy,31527,1,59,3.904,7,0,8,1
113,TLA-NN,TD-Greedy,31528,-1,52,0.365,0,5,3,8
114,TLA-NN,TD-Greedy,31529,1,123,0.445,2,0,8,6
115,TLA-NN,TD-Greedy,31530,-1,124,1.331,0,2,6,8
144,TLA-NN,TD-Greedy,31559,1,39,0.323,8,0,8,0
145,TLA-NN,TD-Greedy,31560,-1,32,3.524,0,6,2,8
146,TLA-NN,TD-Greedy,31561,1,71,1.555,3,0,8,5
147,TLA-NN,TD-Greedy,31562,1,99,1.364,2,0,8,6
200,TD-Greedy,TLA-NN,31615,-1,58,0.937,0,5,3,8
201,TD-Greedy,TLA-NN,31616,-1,44,0.483,0,4,4,8
202,TD-Greedy,TLA-NN,31617,-1,40,0.409,0,6,2,8
203,TD-Greedy,TLA-NN,31618,-1,60,0.455,0,3,5,8
192,TD-Greedy,TLA-NN,31607,-1,106,4.296,0,3,5,8
193,TD-Greedy,TLA-NN,31608,1,63,2.745,5,0,8,3
194,TD-Greedy,TLA-NN,31609,1,85,0.656,4,0,8,4
195,TD-Greedy,TLA-NN,31610,1,57,0.623,5,0,8,3
208,TD-Greedy,TLA-NN,31623,1,55,0.276,4,0,8,4
209,TD-Greedy,TLA-NN,31624,-1,44,0.413,0,7,1,8
210,TD-Greedy,TLA-NN,31625,-1,70,0.504,0,2,6,8
211,TD-Greedy,TLA-NN,31626,-1,90,0.586,0,3,5,8
204,TD-Greedy,TLA-NN,31619,-1,48,0.503,0,4,4,8
