agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,300,150,150,0,50.0,5.7,81.2,4.586
GA-Expert,PSA,300,152,148,0,50.7,5.7,82.7,2.334
GA-Expert,LOOK,300,139,161,0,46.3,5.6,85.7,2.917
GA-Expert,LOOK-A3-simple-stack,300,140,160,0,46.7,5.6,82.7,2.87
GA-Expert,LOOK-no-LA,300,138,162,0,46.0,5.6,87.3,2.46
GA-Expert,MCTS-800-h,300,217,83,0,72.3,5.1,76.1,24.367
GA-Expert,Random,300,287,13,0,95.7,2.3,60.6,2.396
GA-Expert,TD-Greedy,300,181,119,0,60.3,5.5,74.3,5.592
GA-Expert,TLA-NN,300,174,126,0,58.0,5.6,77.7,15.154
GA-Original,PSA,300,160,140,0,53.3,5.6,84.9,2.275
GA-Original,LOOK,300,144,156,0,48.0,5.7,91.6,3.019
GA-Original,LOOK-A3-simple-stack,300,121,179,0,40.3,5.6,88.9,3.089
GA-Original,LOOK-no-LA,300,164,136,0,54.7,5.6,88.6,2.274
GA-Original,MCTS-800-h,300,223,77,0,74.3,4.9,79.5,26.555
GA-Original,Random,300,294,6,0,98.0,1.6,59.3,2.144
GA-Original,TD-Greedy,300,176,124,0,58.7,5.6,77.8,4.047
GA-Original,TLA-NN,300,154,146,0,51.3,5.7,80.8,16.422
PSA,LOOK,300,118,182,0,39.3,5.5,91.6,0.489
PSA,LOOK-A3-simple-stack,300,109,191,0,36.3,5.4,91.7,0.637
PSA,LOOK-no-LA,300,145,155,0,48.3,5.7,90.7,0.103
PSA,MCTS-800-h,300,200,100,0,66.7,5.3,85.7,25.213
PSA,Random,300,292,8,0,97.3,1.8,61.7,0.072
PSA,TD-Greedy,300,164,136,0,54.7,5.6,80.4,1.37
PSA,TLA-NN,300,161,139,0,53.7,5.6,83.3,2.989
LOOK,LOOK-A3-simple-stack,300,134,166,0,44.7,5.6,95.4,1.202
LOOK,LOOK-no-LA,300,168,132,0,56.0,5.6,93.8,0.46
LOOK,MCTS-800-h,300,204,96,0,68.0,5.3,87.3,24.904
LOOK,Random,300,286,14,0,95.3,2.4,63.0,0.351
LOOK,TD-Greedy,300,160,140,0,53.3,5.6,83.1,0.82
LOOK,TLA-NN,300,169,131,0,56.3,5.6,89.2,4.927
LOOK-A3-simple-stack,LOOK-no-LA,300,172,128,0,57.3,5.6,91.6,0.615
LOOK-A3-simple-stack,MCTS-800-h,300,223,77,0,74.3,4.9,82.9,24.299
LOOK-A3-simple-stack,Random,300,293,7,0,97.7,1.7,60.0,0.402
LOOK-A3-simple-stack,TD-Greedy,300,186,114,0,62.0,5.5,81.4,0.442
LOOK-A3-simple-stack,TLA-NN,300,183,117,0,61.0,5.5,83.0,5.986
LOOK-no-LA,MCTS-800-h,300,218,82,0,72.7,5.0,82.9,24.973
LOOK-no-LA,Random,300,286,14,0,95.3,2.4,62.8,0.036
LOOK-no-LA,TD-Greedy,300,174,126,0,58.0,5.6,80.2,0.475
LOOK-no-LA,TLA-NN,300,144,156,0,48.0,5.7,82.0,5.627
MCTS-800-h,Random,300,280,20,0,93.3,2.8,69.1,22.593
MCTS-800-h,TD-Greedy,300,102,198,0,34.0,5.4,76.9,26.701
MCTS-800-h,TLA-NN,300,109,191,0,36.3,5.4,77.4,58.835
Random,TD-Greedy,300,21,279,0,7.0,2.9,62.0,0.063
Random,TLA-NN,300,15,285,0,5.0,2.5,67.0,0.616
TD-Greedy,TLA-NN,300,136,164,0,45.3,5.6,74.1,3.444
