game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
116,TLA-NN,TD-Greedy,27298,-1,36,0.117,0,7,1,8
117,TLA-NN,TD-Greedy,27299,1,39,0.451,6,0,8,2
118,TLA-NN,TD-Greedy,27300,1,63,0.298,3,0,8,5
119,TLA-NN,TD-Greedy,27301,1,81,0.324,4,0,8,4
196,TD-Greedy,TLA-NN,27378,-1,44,0.417,0,6,2,8
197,TD-Greedy,TLA-NN,27379,-1,62,0.803,0,6,2,8
198,TD-Greedy,TLA-NN,27380,1,95,0.598,2,0,8,6
199,TD-Greedy,TLA-NN,27381,1,63,0.033,8,0,8,0
32,TLA-NN,TD-Greedy,27214,-1,70,0.442,0,3,5,8
33,TLA-NN,TD-Greedy,27215,-1,50,0.303,0,7,1,8
34,TLA-NN,TD-Greedy,27216,-1,64,0.248,0,6,2,8
35,TLA-NN,TD-Greedy,27217,1,83,1.209,4,0,8,4
80,TLA-NN,TD-Greedy,27262,1,65,0.844,6,0,8,2
81,TLA-NN,TD-Greedy,27263,1,77,0.967,4,0,8,4
82,TLA-NN,TD-Greedy,27264,-1,42,0.223,0,5,3,8
83,TLA-NN,TD-Greedy,27265,-1,66,0.247,0,5,3,8
140,TLA-NN,TD-Greedy,27322,-1,54,0.315,0,5,3,8
141,TLA-NN,TD-Greedy,27323,1,83,1.338,4,0,8,4
142,TLA-NN,TD-Greedy,27324,-1,58,0.528,0,7,1,8
143,TLA-NN,TD-Greedy,27325,-1,98,0.333,0,3,5,8
148,TLA-NN,TD-Greedy,27330,1,67,0.926,4,0,8,4
149,TLA-NN,TD-Greedy,27331,-1,74,0.27,0,3,5,8
150,TD-Greedy,TLA-NN,27332,1,71,0.77,3,0,8,5
151,TD-Greedy,TLA-NN,27333,-1,86,0.87,0,5,3,8
200,TD-Greedy,TLA-NN,27382,1,61,0.487,6,0,8,2
201,TD-Greedy,TLA-NN,27383,1,57,0.159,6,0,8,2
202,TD-Greedy,TLA-NN,27384,-1,78,1.556,0,2,6,8
203,TD-Greedy,TLA-NN,27385,-1,140,1.011,0,4,4,8
24,TLA-NN,TD-Greedy,27206,1,39,0.469,8,0,8,0
25,TLA-NN,TD-Greedy,27207,1,133,0.641,2,0,8,6
26,TLA-NN,TD-Greedy,27208,-1,106,2.159,0,2,6,8
27,TLA-NN,TD-Greedy,27209,1,93,0.449,7,0,8,1
228,TD-Greedy,TLA-NN,27410,1,83,0.421,7,0,8,1
229,TD-Greedy,TLA-NN,27411,1,51,0.106,5,0,8,3
230,TD-Greedy,TLA-NN,27412,1,119,0.276,3,0,8,5
231,TD-Greedy,TLA-NN,27413,1,47,0.09,6,0,8,2
220,TD-Greedy,TLA-NN,27402,-1,102,0.636,0,2,6,8
221,TD-Greedy,TLA-NN,27403,-1,56,0.545,0,5,3,8
222,TD-Greedy,TLA-NN,27404,-1,76,0.523,0,3,5,8
223,TD-Greedy,TLA-NN,27405,1,59,0.462,5,0,8,3
232,TD-Greedy,TLA-NN,27414,1,65,0.199,5,0,8,3
233,TD-Greedy,TLA-NN,27415,1,65,0.096,6,0,8,2
234,TD-Greedy,TLA-NN,27416,-1,52,0.492,0,7,1,8
235,TD-Greedy,TLA-NN,27417,1,59,0.192,7,0,8,1
224,TD-Greedy,TLA-NN,27406,1,83,0.392,4,0,8,4
225,TD-Greedy,TLA-NN,27407,1,71,0.461,4,0,8,4
226,TD-Greedy,TLA-NN,27408,-1,102,0.874,0,2,6,8
227,TD-Greedy,TLA-NN,27409,-1,108,1.032,0,2,6,8
236,TD-Greedy,TLA-NN,27418,-1,94,0.197,0,1,7,8
237,TD-Greedy,TLA-NN,27419,1,53,0.459,4,0,8,4
238,TD-Greedy,TLA-NN,27420,1,101,0.346,3,0,8,5
239,TD-Greedy,TLA-NN,27421,-1,60,1.067,0,5,3,8
240,TD-Greedy,TLA-NN,27422,-1,116,1.256,0,5,3,8
241,TD-Greedy,TLA-NN,27423,1,103,0.986,1,0,8,7
242,TD-Greedy,TLA-NN,27424,1,65,0.573,4,0,8,4
243,TD-Greedy,TLA-NN,27425,1,65,0.856,4,0,8,4
244,TD-Greedy,TLA-NN,27426,-1,60,0.646,0,4,4,8
245,TD-Greedy,TLA-NN,27427,-1,76,1.253,0,5,3,8
246,TD-Greedy,TLA-NN,27428,1,35,0.162,8,0,8,0
247,TD-Greedy,TLA-NN,27429,-1,62,1.135,0,6,2,8
204,TD-Greedy,TLA-NN,27386,1,73,0.105,7,0,8,1
