agent_a,agent_b,games,a_wins,b_wins,draws,a_win_pct,ci_95_pct,avg_turns,avg_time_sec
GA-Expert,GA-Original,300,146,154,0,48.7,5.7,77.9,4.864
GA-Expert,PSA,300,150,150,0,50.0,5.7,83.5,2.739
GA-Expert,LOOK,300,141,159,0,47.0,5.6,84.9,3.814
GA-Expert,LOOK-A3-simple-stack,300,129,171,0,43.0,5.6,84.9,3.687
GA-Expert,LOOK-no-LA,300,153,147,0,51.0,5.7,82.0,3.377
GA-Expert,MCTS-800-h,300,221,79,0,73.7,5.0,80.5,26.899
GA-Expert,Random,300,291,9,0,97.0,1.9,59.1,2.738
GA-Expert,TD-Greedy,300,136,164,0,45.3,5.6,76.1,8.072
GA-Expert,TLA-NN,300,140,160,0,46.7,5.6,77.3,29.555
GA-Original,PSA,300,165,135,0,55.0,5.6,85.7,2.649
GA-Original,LOOK,300,128,172,0,42.7,5.6,91.6,3.724
GA-Original,LOOK-A3-simple-stack,300,132,168,0,44.0,5.6,86.9,3.93
GA-Original,LOOK-no-LA,300,165,135,0,55.0,5.6,86.4,3.318
GA-Original,MCTS-800-h,300,221,79,0,73.7,5.0,82.5,28.58
GA-Original,Random,300,292,8,0,97.3,1.8,59.9,2.545
GA-Original,TD-Greedy,300,107,193,0,35.7,5.4,79.0,6.568
GA-Original,TLA-NN,300,128,172,0,42.7,5.6,81.4,29.358
PSA,LOOK,300,123,177,0,41.0,5.6,92.1,0.614
PSA,LOOK-A3-simple-stack,300,117,183,0,39.0,5.5,88.8,0.649
PSA,LOOK-no-LA,300,144,156,0,48.0,5.7,89.5,0.145
PSA,MCTS-800-h,300,203,97,0,67.7,5.3,83.7,26.442
PSA,Random,300,282,18,0,94.0,2.7,63.4,0.08
PSA,TD-Greedy,300,92,208,0,30.7,5.2,77.6,2.15
PSA,TLA-NN,300,109,191,0,36.3,5.4,80.3,41.157
LOOK,LOOK-A3-simple-stack,300,146,154,0,48.7,5.7,96.8,1.216
LOOK,LOOK-no-LA,300,173,127,0,57.7,5.6,96.8,0.746
LOOK,MCTS-800-h,300,200,100,0,66.7,5.3,85.0,33.257
LOOK,Random,300,292,8,0,97.3,1.8,60.4,0.532
LOOK,TD-Greedy,300,129,171,0,43.0,5.6,82.4,1.804
LOOK,TLA-NN,300,100,200,0,33.3,5.3,81.1,11.168
LOOK-A3-simple-stack,LOOK-no-LA,300,169,131,0,56.3,5.6,92.7,0.689
LOOK-A3-simple-stack,MCTS-800-h,300,233,67,0,77.7,4.7,81.9,31.527
LOOK-A3-simple-stack,Random,300,286,14,0,95.3,2.4,64.6,0.562
LOOK-A3-simple-stack,TD-Greedy,300,155,145,0,51.7,5.7,80.9,1.086
LOOK-A3-simple-stack,TLA-NN,300,138,162,0,46.0,5.6,83.9,13.9
LOOK-no-LA,MCTS-800-h,300,206,94,0,68.7,5.2,87.8,27.913
LOOK-no-LA,Random,300,289,11,0,96.3,2.1,63.7,0.047
LOOK-no-LA,TD-Greedy,300,112,188,0,37.3,5.5,79.4,0.648
LOOK-no-LA,TLA-NN,300,113,187,0,37.7,5.5,80.5,9.826
MCTS-800-h,Random,300,285,15,0,95.0,2.5,70.7,23.719
MCTS-800-h,TD-Greedy,300,62,238,0,20.7,4.6,77.1,65.893
MCTS-800-h,TLA-NN,300,65,235,0,21.7,4.7,79.1,230.425
Random,TD-Greedy,300,10,290,0,3.3,2.0,60.2,2.409
Random,TLA-NN,300,6,294,0,2.0,1.6,58.3,10.473
TD-Greedy,TLA-NN,300,166,134,0,55.3,5.6,76.7,5.961
