game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
116,LOOK-A3-simple-stack,LOOK,158,1,93,0.156,2,0,8,6
117,LOOK-A3-simple-stack,LOOK,159,-1,96,0.328,0,4,4,8
118,LOOK-A3-simple-stack,LOOK,160,1,83,0.641,2,0,8,6
119,LOOK-A3-simple-stack,LOOK,161,-1,106,0.484,0,3,5,8
64,LOOK-A3-simple-stack,LOOK,106,1,73,0.391,4,0,8,4
65,LOOK-A3-simple-stack,LOOK,107,-1,168,0.672,0,1,7,8
66,LOOK-A3-simple-stack,LOOK,108,-1,80,0.406,0,2,6,8
67,LOOK-A3-simple-stack,LOOK,109,-1,96,0.391,0,2,6,8
176,LOOK-A3-simple-stack,LOOK,218,1,97,0.797,4,0,8,4
177,LOOK-A3-simple-stack,LOOK,219,-1,70,0.484,0,5,3,8
178,LOOK-A3-simple-stack,LOOK,220,1,97,0.531,2,0,8,6
179,LOOK-A3-simple-stack,LOOK,221,1,89,0.25,4,0,8,4
164,LOOK-A3-simple-stack,LOOK,206,-1,48,0.375,0,6,2,8
165,LOOK-A3-simple-stack,LOOK,207,-1,92,0.703,0,2,6,8
166,LOOK-A3-simple-stack,LOOK,208,1,91,0.688,4,0,8,4
167,LOOK-A3-simple-stack,LOOK,209,1,61,0.312,6,0,8,2
108,LOOK-A3-simple-stack,LOOK,150,1,79,0.219,7,0,8,1
109,LOOK-A3-simple-stack,LOOK,151,1,81,0.75,5,0,8,3
110,LOOK-A3-simple-stack,LOOK,152,-1,112,0.937,0,2,6,8
111,LOOK-A3-simple-stack,LOOK,153,1,67,0.328,5,0,8,3
104,LOOK-A3-simple-stack,LOOK,146,-1,106,0.406,0,3,5,8
105,LOOK-A3-simple-stack,LOOK,147,-1,92,0.234,0,3,5,8
106,LOOK-A3-simple-stack,LOOK,148,-1,176,1.563,0,2,6,8
107,LOOK-A3-simple-stack,LOOK,149,-1,104,0.219,0,1,7,8
72,LOOK-A3-simple-stack,LOOK,114,-1,178,0.563,0,3,5,8
73,LOOK-A3-simple-stack,LOOK,115,1,53,0.344,8,0,8,0
74,LOOK-A3-simple-stack,LOOK,116,-1,54,0.203,0,7,1,8
