game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
104,LOOK,LOOK-A3-simple-stack,146,-1,120,0.562,0,1,7,8
105,LOOK,LOOK-A3-simple-stack,147,-1,112,0.188,0,3,5,8
106,LOOK,LOOK-A3-simple-stack,148,-1,82,0.391,0,5,3,8
107,LOOK,LOOK-A3-simple-stack,149,-1,88,0.484,0,7,1,8
232,LOOK,LOOK-A3-simple-stack,274,1,75,0.375,6,0,8,2
233,LOOK,LOOK-A3-simple-stack,275,-1,56,1.078,0,8,0,8
234,LOOK,LOOK-A3-simple-stack,276,-1,42,0.094,0,7,1,8
235,LOOK,LOOK-A3-simple-stack,277,1,69,0.234,3,0,8,5
116,LOOK,LOOK-A3-simple-stack,158,1,101,0.266,6,0,8,2
117,LOOK,LOOK-A3-simple-stack,159,-1,52,0.219,0,7,1,8
118,LOOK,LOOK-A3-simple-stack,160,1,45,0.531,6,0,8,2
119,LOOK,LOOK-A3-simple-stack,161,1,109,1.016,3,0,8,5
0,LOOK,LOOK-A3-simple-stack,42,1,65,0.266,5,0,8,3
1,LOOK,LOOK-A3-simple-stack,43,-1,52,0.453,0,5,3,8
2,LOOK,LOOK-A3-simple-stack,44,-1,166,1.391,0,3,5,8
3,LOOK,LOOK-A3-simple-stack,45,-1,76,0.219,0,6,2,8
64,LOOK,LOOK-A3-simple-stack,106,1,101,0.5,3,0,8,5
65,LOOK,LOOK-A3-simple-stack,107,1,81,0.562,6,0,8,2
66,LOOK,LOOK-A3-simple-stack,108,1,161,0.781,2,0,8,6
67,LOOK,LOOK-A3-simple-stack,109,1,67,0.531,3,0,8,5
72,LOOK,LOOK-A3-simple-stack,114,1,103,0.484,4,0,8,4
73,LOOK,LOOK-A3-simple-stack,115,1,49,0.719,6,0,8,2
74,LOOK,LOOK-A3-simple-stack,116,-1,64,0.266,0,5,3,8
75,LOOK,LOOK-A3-simple-stack,117,-1,46,1.359,0,3,5,8
176,LOOK,LOOK-A3-simple-stack,218,1,151,1.437,2,0,8,6
177,LOOK,LOOK-A3-simple-stack,219,-1,74,0.375,0,4,4,8
178,LOOK,LOOK-A3-simple-stack,220,1,77,0.297,3,0,8,5
179,LOOK,LOOK-A3-simple-stack,221,1,133,0.609,6,0,8,2
204,LOOK,LOOK-A3-simple-stack,246,1,41,0.703,8,0,8,0
205,LOOK,LOOK-A3-simple-stack,247,1,67,0.906,4,0,8,4
206,LOOK,LOOK-A3-simple-stack,248,1,83,0.297,5,0,8,3
207,LOOK,LOOK-A3-simple-stack,249,1,61,0.766,5,0,8,3
40,LOOK,LOOK-A3-simple-stack,82,-1,58,1.578,0,6,2,8
41,LOOK,LOOK-A3-simple-stack,83,-1,110,0.281,0,5,3,8
42,LOOK,LOOK-A3-simple-stack,84,1,95,0.859,3,0,8,5
43,LOOK,LOOK-A3-simple-stack,85,1,59,0.219,5,0,8,3
100,LOOK,LOOK-A3-simple-stack,142,-1,252,0.437,0,1,7,8
101,LOOK,LOOK-A3-simple-stack,143,1,71,1.672,5,0,8,3
102,LOOK,LOOK-A3-simple-stack,144,1,79,0.578,4,0,8,4
103,LOOK,LOOK-A3-simple-stack,145,1,57,0.187,7,0,8,1
236,LOOK,LOOK-A3-simple-stack,278,1,51,0.578,7,0,8,1
